latitude,longitude,ph,moisture,temperature,nitrogen,cec,fertility
81.07992906159468,-87.37931261178203,66.0,487.0,-2.105156038577358,824.0,336.0,Medium
81.07992906159468,-77.48588348955856,63.0,505.0,-1.9124708299835522,868.0,422.0,Medium
81.07992906159468,-74.18807378215071,65.0,487.0,-1.8480562438567478,924.0,422.0,Medium
81.07992906159468,-67.59245436733501,65.0,502.0,-1.8235479171077411,1006.0,444.0,Medium
81.07992906159468,-25.694555463491465,64.0,468.0,-1.8930958370367683,1047.0,444.0,Medium
81.07992906159468,-19.0989360486758,64.0,473.0,-1.7927277962366739,1031.0,373.0,Medium
79.54506701359885,-94.56632346386586,65.0,514.0,-1.995258336017529,972.0,459.0,High
79.54506701359885,-88.61809804736208,63.0,526.0,-2.066654171422124,759.0,367.0,Medium
79.54506701359885,-82.6698726308583,63.0,517.0,-1.8426312496264776,799.0,355.0,Medium
79.54506701359885,-76.7216472143545,65.0,495.0,-1.8814853871862096,764.0,363.0,Medium
79.54506701359885,-73.74753450610257,67.0,476.0,-1.7201679810881616,669.0,301.0,Medium
79.54506701359885,-23.201960850105134,63.0,470.0,-1.7531708081563313,1227.0,402.0,Medium
79.54506701359885,95.7625474799706,65.0,449.0,-1.7329812514906129,1023.0,477.0,High
78.0835585929648,-100.47278164068082,68.0,545.0,-1.892064565171798,1066.0,453.0,High
78.0835585929648,-95.00738879105735,67.0,528.0,-1.8307751039663949,986.0,397.0,Medium
78.0835585929648,-84.07660309181041,61.0,560.0,-1.8056514550000429,751.0,378.0,Medium
78.0835585929648,-21.616118967836215,65.0,457.0,-1.3656062559535107,1086.0,476.0,High
78.0835585929648,13.908934554716343,61.0,423.0,-0.5914181287089982,869.0,414.0,Medium
78.0835585929648,22.107023829151544,61.0,454.0,-0.7251395881175995,963.0,405.0,Medium
76.68084295162666,-120.79155573156486,68.0,517.0,-1.8288175463676455,1039.0,347.0,Medium
76.68084295162666,-95.35226500563088,68.0,494.0,-1.8673770628869535,745.0,326.0,Medium
76.68084295162666,-90.26440686044408,66.0,523.0,-1.863313616315524,696.0,351.0,Medium
76.68084295162666,-87.72047778785068,62.0,519.0,-1.736110410839319,649.0,340.0,Medium
76.68084295162666,-85.1765487152573,62.0,557.0,-1.9180979135135807,769.0,347.0,Medium
76.68084295162666,-67.36904520710347,66.0,509.0,-1.457962489873171,714.0,435.0,Medium
76.68084295162666,-23.138473817128617,63.0,476.0,-1.309981821725766,1155.0,493.0,High
76.68084295162666,65.89904372364035,65.0,441.0,-1.097016919652621,1144.0,443.0,Medium
76.68084295162666,68.44297279623373,65.0,474.0,-1.2659770725915829,1305.0,506.0,High
76.68084295162666,101.51405073994793,60.0,499.0,-1.5280208642284074,1566.0,613.0,High
76.68084295162666,104.05797981254133,63.0,478.0,-1.5621249993642172,1239.0,498.0,High
76.68084295162666,106.60190888513473,63.0,462.0,-1.562141654888789,1166.0,456.0,Medium
76.68084295162666,109.14583795772812,62.0,478.0,-1.626985494295756,1255.0,491.0,High
75.32684197606835,-117.15238082781941,69.0,484.0,-1.684660411874453,728.0,336.0,Medium
75.32684197606835,-114.76114162353471,70.0,493.0,-1.7402833342552186,726.0,339.0,Medium
75.32684197606835,-112.36990241924998,71.0,476.0,-1.7487362523873644,751.0,268.0,Medium
75.32684197606835,-109.97866321496528,72.0,497.0,-1.8094895690679553,982.0,295.0,Medium
75.32684197606835,-107.58742401068056,71.0,502.0,-1.788900015751521,930.0,318.0,Medium
75.32684197606835,-100.41370639782643,71.0,498.0,-1.7585212250550588,772.0,304.0,Medium
75.32684197606835,-95.631227989257,68.0,504.0,-1.7309374742209913,799.0,398.0,Medium
75.32684197606835,-90.84874958068758,65.0,553.0,-1.785039562980334,602.0,347.0,Medium
75.32684197606835,-88.45751037640287,65.0,546.0,-1.7245791643857953,681.0,280.0,Medium
75.32684197606835,-86.06627117211816,63.0,568.0,-1.6676750133434932,763.0,361.0,Medium
75.32684197606835,-22.340274032459728,62.0,454.0,-1.3081728929032883,921.0,325.0,Medium
75.32684197606835,-19.94903482817502,67.0,446.0,-1.0740759869416554,1255.0,500.0,High
75.32684197606835,90.04796856892175,63.0,471.0,-1.4533396010597546,1312.0,537.0,High
75.32684197606835,92.43920777320648,61.0,478.0,-1.5349520693222685,1406.0,576.0,High
75.32684197606835,94.83044697749118,62.0,476.0,-1.5399562453230222,1204.0,492.0,Medium
75.32684197606835,97.22168618177588,62.0,512.0,-1.5326208534340064,1323.0,637.0,High
75.32684197606835,99.61292538606058,60.0,500.0,-1.519570821997089,1350.0,578.0,High
75.32684197606835,102.00416459034531,61.0,492.0,-1.5311312666162848,1374.0,466.0,High
75.32684197606835,104.39540379463003,61.0,487.0,-1.5343916807323694,1245.0,449.0,Medium
75.32684197606835,106.78664299891473,63.0,490.0,-1.5606021098792553,1051.0,421.0,Medium
75.32684197606835,109.17788220319946,61.0,492.0,-1.69848330616951,995.0,413.0,Medium
75.32684197606835,111.56912140748416,61.0,523.0,-1.6480583424369495,924.0,405.0,Medium
75.32684197606835,137.872752654616,64.0,460.0,-1.5390083293120067,1022.0,392.0,Medium
75.32684197606835,142.65523106318543,66.0,499.0,-1.6038580785195033,963.0,369.0,Medium
75.32684197606835,147.43770947175486,67.0,508.0,-1.592974991103013,1013.0,371.0,Medium
74.01419868319998,-123.03719221704303,72.0,498.0,-1.541820816198985,789.0,332.0,Medium
